participant_id,image_name,task,emotion,sac1,sac2,sac3,sac4,sac5
CHN,28M_AN_C.BMP,Categorisation,AN,Outside,Nose,NA,NA,NA
DES,28M_AN_C.BMP,Categorisation,AN,Eyes,Eyes,Eyes,Eyes,Eyes
DHV,28M_AN_C.BMP,Categorisation,AN,Eyes,Nose,Eyes,NA,NA
HAH,28M_AN_C.BMP,Categorisation,AN,Eyes,Nose,Nose,Outside,Outside
HAU,28M_AN_C.BMP,Categorisation,AN,Nose,Nose,NA,NA,NA
KRT,28M_AN_C.BMP,Categorisation,AN,Nose,Nose,Outside,Outside,Eyes
KUL,28M_AN_C.BMP,Categorisation,AN,Nose,NA,NA,NA,NA
LOV,28M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
NIS,28M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
PRA,28M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
PRT,28M_AN_C.BMP,Categorisation,AN,Nose,NA,NA,NA,NA
SHI,28M_AN_C.BMP,Categorisation,AN,Outside,Outside,Eyes,Outside,Eyes
SYE,28M_AN_C.BMP,Categorisation,AN,Nose,Nose,Mouth,Nose,Outside
TSH,28M_AN_C.BMP,Categorisation,AN,Outside,NA,NA,NA,NA
ADA,23M_NE_C.BMP,Categorisation,NE,Nose,Eyes,Outside,NA,NA
ANT,23M_NE_C.BMP,Categorisation,NE,Outside,Outside,Outside,Outside,NA
CHN,23M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Eyes,Mouth,Eyes
DES,23M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Eyes,Eyes,Eyes
DEV,23M_NE_C.BMP,Categorisation,NE,Nose,Mouth,Nose,NA,NA
DHV,23M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Outside,Outside,Outside
HAH,23M_NE_C.BMP,Categorisation,NE,Nose,Nose,Outside,Nose,Nose
HAU,23M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Eyes,Eyes,Eyes
LOV,23M_NE_C.BMP,Categorisation,NE,Outside,Outside,Outside,Outside,Outside
NIS,23M_NE_C.BMP,Categorisation,NE,Nose,Outside,Nose,Outside,NA
PRT,23M_NE_C.BMP,Categorisation,NE,Outside,Outside,Outside,Outside,NA
SHI,23M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Outside,Eyes,Outside
SYE,23M_NE_C.BMP,Categorisation,NE,Nose,Mouth,Nose,Nose,Eyes
TSH,23M_NE_C.BMP,Categorisation,NE,Eyes,NA,NA,NA,NA
VIP,23M_NE_C.BMP,Categorisation,NE,Nose,Eyes,Nose,Outside,NA
CHN,33M_HA_X.BMP,Categorisation,HA,Eyes,Outside,NA,NA,NA
DHA,33M_HA_X.BMP,Categorisation,HA,Eyes,Eyes,Eyes,NA,NA
HAH,33M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
HAM,33M_HA_X.BMP,Categorisation,HA,Nose,Nose,NA,NA,NA
HMN,33M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
JAY,33M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
KRT,33M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
KUL,33M_HA_X.BMP,Categorisation,HA,Outside,Eyes,Eyes,Eyes,Eyes
LOV,33M_HA_X.BMP,Categorisation,HA,Nose,Eyes,Eyes,Outside,Eyes
NAN,33M_HA_X.BMP,Categorisation,HA,Nose,Eyes,Nose,NA,NA
PRA,33M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
SHI,33M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
VIL,33M_HA_X.BMP,Categorisation,HA,Nose,Eyes,Outside,Eyes,Eyes
CHN,28M_NE_C.BMP,Categorisation,NE,Eyes,NA,NA,NA,NA
HAH,28M_NE_C.BMP,Categorisation,NE,Eyes,Outside,Nose,NA,NA
HMN,28M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Eyes,Nose,Eyes
JAY,28M_NE_C.BMP,Categorisation,NE,Outside,Outside,NA,NA,NA
KRT,28M_NE_C.BMP,Categorisation,NE,Eyes,Outside,NA,NA,NA
KUL,28M_NE_C.BMP,Categorisation,NE,Outside,Nose,Nose,Nose,Outside
LOV,28M_NE_C.BMP,Categorisation,NE,Nose,Outside,Outside,Outside,Outside
MAL,28M_NE_C.BMP,Categorisation,NE,Outside,Mouth,Nose,NA,NA
NAN,28M_NE_C.BMP,Categorisation,NE,Nose,NA,NA,NA,NA
NIS,28M_NE_C.BMP,Categorisation,NE,Nose,Nose,Eyes,Outside,Eyes
PRA,28M_NE_C.BMP,Categorisation,NE,Nose,Outside,Nose,NA,NA
SKR,28M_NE_C.BMP,Categorisation,NE,Outside,Outside,NA,NA,NA
SYE,28M_NE_C.BMP,Categorisation,NE,Eyes,Eyes,Eyes,Eyes,Eyes
TSH,28M_NE_C.BMP,Categorisation,NE,Mouth,Mouth,Mouth,NA,NA
VIL,28M_NE_C.BMP,Categorisation,NE,Nose,NA,NA,NA,NA
CHN,22M_HA_X.BMP,Categorisation,HA,Nose,Eyes,Nose,Eyes,Nose
DHA,22M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
HAH,22M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
HAM,22M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
HMN,22M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
JAY,22M_HA_X.BMP,Categorisation,HA,Eyes,NA,NA,NA,NA
KRT,22M_HA_X.BMP,Categorisation,HA,Outside,Eyes,Outside,Eyes,NA
KUL,22M_HA_X.BMP,Categorisation,HA,Nose,NA,NA,NA,NA
LOV,22M_HA_X.BMP,Categorisation,HA,Eyes,Eyes,NA,NA,NA
MAL,22M_HA_X.BMP,Categorisation,HA,Outside,Outside,Mouth,Nose,Nose
NAN,22M_HA_X.BMP,Categorisation,HA,Eyes,Nose,Nose,Mouth,NA
PRA,22M_HA_X.BMP,Categorisation,HA,Outside,NA,NA,NA,NA
SHI,22M_HA_X.BMP,Categorisation,HA,Nose,Mouth,NA,NA,NA
VIL,22M_HA_X.BMP,Categorisation,HA,Eyes,Nose,Nose,Nose,NA
ADA,24M_NE_O.BMP,Categorisation,NE,Eyes,Outside,Outside,Outside,Nose
DES,24M_NE_O.BMP,Categorisation,NE,Eyes,Eyes,Eyes,Eyes,NA
DEV,24M_NE_O.BMP,Categorisation,NE,Eyes,Eyes,NA,NA,NA
DHV,24M_NE_O.BMP,Categorisation,NE,Outside,Outside,Eyes,Eyes,Eyes
HAM,24M_NE_O.BMP,Categorisation,NE,Nose,Outside,Eyes,Outside,NA
HAU,24M_NE_O.BMP,Categorisation,NE,Outside,Outside,NA,NA,NA
KRT,24M_NE_O.BMP,Categorisation,NE,Nose,Nose,Eyes,NA,NA
KUL,24M_NE_O.BMP,Categorisation,NE,Outside,NA,NA,NA,NA
LOV,24M_NE_O.BMP,Categorisation,NE,Outside,Eyes,NA,NA,NA
NIS,24M_NE_O.BMP,Categorisation,NE,Outside,Nose,Outside,Eyes,NA
PRA,24M_NE_O.BMP,Categorisation,NE,Nose,NA,NA,NA,NA
PRT,24M_NE_O.BMP,Categorisation,NE,Outside,NA,NA,NA,NA
SYE,24M_NE_O.BMP,Categorisation,NE,Nose,Nose,Outside,Nose,Eyes
TSH,24M_NE_O.BMP,Categorisation,NE,Outside,NA,NA,NA,NA
VIL,24M_NE_O.BMP,Categorisation,NE,Outside,Outside,NA,NA,NA
CHN,33M_AN_C.BMP,Categorisation,AN,Nose,Outside,Outside,Outside,NA
DEP,33M_AN_C.BMP,Categorisation,AN,Outside,Outside,NA,NA,NA
DHA,33M_AN_C.BMP,Categorisation,AN,Outside,Eyes,Outside,Eyes,NA
HAH,33M_AN_C.BMP,Categorisation,AN,Nose,Nose,Nose,Nose,NA
HAM,33M_AN_C.BMP,Categorisation,AN,Nose,Nose,Eyes,Eyes,Eyes
HMN,33M_AN_C.BMP,Categorisation,AN,Eyes,Eyes,NA,NA,NA
JAY,33M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
KRT,33M_AN_C.BMP,Categorisation,AN,Outside,Outside,NA,NA,NA
KUL,33M_AN_C.BMP,Categorisation,AN,Nose,Outside,Mouth,Mouth,Nose
LOV,33M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
MAL,33M_AN_C.BMP,Categorisation,AN,Outside,Mouth,Mouth,Outside,Mouth
NAN,33M_AN_C.BMP,Categorisation,AN,Nose,Nose,NA,NA,NA
NIS,33M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
PRA,33M_AN_C.BMP,Categorisation,AN,Nose,Outside,Eyes,Eyes,Nose
SHI,33M_AN_C.BMP,Categorisation,AN,Mouth,Mouth,Outside,Outside,Outside
SKR,33M_AN_C.BMP,Categorisation,AN,Mouth,Mouth,Mouth,Nose,Mouth
SYE,33M_AN_C.BMP,Categorisation,AN,Eyes,Outside,Eyes,Eyes,Eyes
TSH,33M_AN_C.BMP,Categorisation,AN,Outside,Mouth,Outside,Outside,Nose
VIL,33M_AN_C.BMP,Categorisation,AN,Eyes,NA,NA,NA,NA
